Event,Date,Venue,City,State/Province,Country,Attendance,EVENT #,PPV,Explanation,Month,Year,Extra Notes
UFC 42: Sudden Impact,4/25/2003,AmericanAirlines Arena,Miami, Florida, U.S.,7500,UFC 42,35000,,April,2003,
UFC 43: Meltdown,6/6/2003,Thomas & Mack Center,Las Vegas, Nevada, U.S.,9800,UFC 43,49000,,June,2003,
UFC 44: Undisputed,9/26/2003,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10400,UFC 44,94000,,September,2003,
UFC 45: Revolution,11/21/2003,Mohegan Sun Arena,Uncasville, Connecticut, U.S.,9200,UFC 45,40000,,November,2003,
UFC 46: Supernatural,1/31/2004,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10700,UFC 46,80000,,January,2004,
UFC 47: It's On!,4/2/2004,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11437,UFC 47,105000,,April,2004,
UFC 48: Payback,6/19/2004,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10000,UFC 48,110000,,June,2004,
UFC 49: Unfinished Business,8/21/2004,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12100,UFC 49,80000,,August,2004,
UFC 50: The War of '04,10/22/2004,Boardwalk Hall,Atlantic City, New Jersey, U.S.,9000,UFC 50,40000,,October,2004,
UFC 51: Super Saturday,2/5/2005,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11072,UFC 51,105000,,February,2005,
UFC 52: Couture vs. Liddell,4/16/2005,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14562,UFC 52,280000,,April,2005,
UFC 53: Heavy Hitters,6/4/2005,Boardwalk Hall,Atlantic City, New Jersey, U.S.,12000,UFC 53,90000,,June,2005,
UFC 54: Boiling Point,8/20/2005,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13520,UFC 54,150000,,August,2005,
UFC 55: Fury,10/7/2005,Mohegan Sun Arena,Uncasville, Connecticut, U.S.,8000,UFC 55,125000,,October,2005,
UFC 56: Full Force,11/19/2005,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12000,UFC 56,200000,,November,2005,
UFC 57: Liddell vs. Couture 3,2/4/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10659,UFC 57,400000,,February,2006,
UFC 58: USA vs. Canada,3/4/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,9569,UFC 58,300000,,March,2006,
UFC 59: Reality Check,4/15/2006,Arrowhead Pond of Anaheim,Anaheim, California, U.S.,13814,UFC 59,425000,,April,2006,
UFC 60: Hughes vs. Gracie,5/27/2006,Staples Center,Los Angeles, California, U.S.,14765,UFC 60,620000,,May,2006,
UFC 61: Bitter Rivals,7/8/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11167,UFC 61,775000,,July,2006,
UFC 62: Liddell vs. Sobral,8/26/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10503,UFC 62,500000,,August,2006,
UFC 63: Hughes vs. Penn,9/23/2006,Arrowhead Pond of Anaheim,Anaheim, California, U.S.,12604,UFC 63,400000,,September,2006,
UFC 64: Unstoppable,10/14/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10173,UFC 64,300000,,October,2006,
UFC 65: Bad Intentions,11/18/2006,ARCO Arena,Sacramento, California, U.S.,14666,UFC 65,500000,,November,2006,
UFC 66: Liddell vs. Ortiz,12/30/2006,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13671,UFC 66,1050000,,December,2006,
UFC 67: All or Nothing,2/3/2007,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10787,UFC 67,400000,,February,2007,
UFC 68: The Uprising,3/3/2007,Nationwide Arena,Columbus, Ohio, U.S.,19079,UFC 68,540000,,March,2007,
UFC 69: Shootout,4/7/2007,Toyota Center,Houston, Texas, U.S.,15269,UFC 69,400000,,April,2007,
UFC 70: Nations Collide,4/21/2007,Manchester Evening News Arena,Manchester, England, U.K.,15114,UFC 70,Not Available,,April,2007,
UFC 71: Liddell vs. Jackson,5/26/2007,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14728,UFC 71,675000,,May,2007,
