Event,Date,Venue,City,State/Province,Country,Attendance,EVENT #,PPV,Explanation,Month,Year,Extra Notes
UFC 194: Aldo vs. McGregor,12/12/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,16516,UFC 194,1025000,,December,2015,
UFC 195: Lawler vs. Condit,1/2/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,10300,UFC 195,300000,,January,2016,
UFC 196: McGregor vs. Diaz,3/5/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14898,UFC 196,1317000,,March,2016,
UFC 197: Jones vs. Saint Preux,4/23/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,11352,UFC 197,322000,,April,2016,
UFC 198: Werdum vs. Miocic,5/14/2016,Arena da Baixada,Curitiba,N/A, Brazil,45207,UFC 198,217000,,May,2016,
UFC 199: Rockhold vs. Bisping 2,6/4/2016,The Forum,Inglewood, California, U.S.,15587,UFC 199,320000,,June,2016,
UFC 200: Tate vs. Nunes,7/9/2016,T-Mobile Arena,Las Vegas, Nevada, U.S.,18202,UFC 200,1009000,,July,2016,
UFC 201: Lawler vs. Woodley,7/30/2016,Philips Arena,Atlanta, Georgia, U.S.,10240,UFC 201,240000,,July,2016,
UFC 202: Diaz vs. McGregor 2,8/20/2016,T-Mobile Arena,Las Vegas, Nevada, U.S.,15539,UFC 202,1650000,,August,2016,
UFC 203: Miocic vs. Overeem,9/10/2016,Quicken Loans Arena,Cleveland, Ohio, U.S.,18875,UFC 203,450000,,September,2016,
UFC 204: Bisping vs. Henderson 2,10/8/2016,Manchester Arena,Manchester, England, U.K.,16000,UFC 204,290000,,October,2016,
UFC 205: Alvarez vs. McGregor,11/12/2016,Madison Square Garden,New York City, New York, U.S.,20427,UFC 205,1300000,,November,2016,
UFC 206: Holloway vs. Pettis,12/10/2016,Air Canada Centre,Toronto, Ontario, Canada,18057,UFC 206,150000,,December,2016,
UFC 207: Nunes vs. Rousey,12/30/2016,T-Mobile Arena,Las Vegas, Nevada, U.S.,18533,UFC 207,1100000,,December,2016,
UFC 208: Holm vs. de Randamie,2/11/2017,Barclays Center,Brooklyn, New York, U.S.,15628,UFC 208,200000,,February,2017,
UFC 209: Woodley vs. Thompson 2,3/4/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,13150,UFC 209,300000,,March,2017,
UFC 210: Cormier vs. Johnson 2,4/8/2017,KeyBank Center,Buffalo, New York, U.S.,17110,UFC 210,300000,,April,2017,
UFC 211: Miocic vs. dos Santos 2,5/13/2017,American Airlines Center,Dallas, Texas, U.S.,17834,UFC 211,300000,,May,2017,
UFC 212: Aldo vs. Holloway,6/3/2017,Jeunesse Arena,Rio de Janeiro,N/A, Brazil,15412,UFC 212,167000,,June,2017,
UFC 213: Romero vs. Whittaker,7/8/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,12834,UFC 213,150000,,July,2017,
UFC 214: Cormier vs. Jones 2,7/29/2017,Honda Center,Anaheim, California, U.S.,16610,UFC 214,850000,,July,2017,
UFC 215: Nunes vs. Shevchenko 2,9/9/2017,Rogers Place,Edmonton, Alberta, Canada,16232,UFC 215,100000,,September,2017,
UFC 216: Ferguson vs. Lee,10/7/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,10638,UFC 216,120000,,October,2017,
UFC 217: Bisping vs. St-Pierre,11/4/2017,Madison Square Garden,New York City, New York, U.S.,18201,UFC 217,875000,,November,2017,
UFC 218: Holloway vs. Aldo 2,12/2/2017,Little Caesars Arena,Detroit, Michigan, U.S.,17587,UFC 218,230000,,December,2017,
UFC 219: Cyborg vs. Holm,12/30/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,13561,UFC 219,360000,Not reported,December,2017,Estimated between 340K - 380K buys
